frame,text_box,left_x,left_y,right_x,right_y
373,matthe,-1,0.2344382,0,0
374,matthe,-1,0.2235661,0,0
375,matthe,-1,0.2184924,0,0
376,matthe,-1,0.2163181,0,0
377,matthe,-1,0.2170429,0,0
378,matthe,-1,0.2163181,0,0
379,matthe,-1,0.2177677,0,0
380,matthe,-1,0.2431358,0,0
381,matthe,-1,0.2743024,0,0
382,matthe,-1,0.2916977,0,0
383,matthe,-1,0.3156161,0,0
384,matthe,-1,0.3359106,0,0
385,matthe,-1,0.3793989,0,0
386,matthe,-1,0.4468057,0,0
387,matthe,-1,0.5287084,0,0
388,matthe,-1,0.6352545,0,0
389,matthe,-1,0.7657191,0,0
390,matthe,-1,0.8396491,0,0
391,matthe,-1,0.8853118,0,0
392,matthe,-1,0.9244512,0,0
393,matthe,-1,0.9541681,0,0
394,matthe,-1,0.9599665,0,0
395,matthe,-1,0.9606913,0,0
396,matthe,-1,0.9614161,0,0
397,matthe,-1,0.9614161,0,0
398,matthe,-1,0.9614161,0,0
399,matthe,-1,0.9614161,0,0
400,matthe,-1,0.9614161,0,0
401,matthe,-1,0.9614161,0,0
402,matthe,-1,0.9614161,0,0
403,matthe,-1,0.9614161,0,0
404,matthe,-1,0.9614161,0,0
405,matthe,-1,0.9614161,0,0
406,matthe,-1,0.9614161,0,0
407,matthe,-1,0.9614161,0,0
408,matthew,-1,0.9614161,0,0
409,matthew,-1,0.9614161,0,0
410,matthew,-1,0.9614161,0,0
411,matthew,-1,0.9614161,0,0
412,matthew,-1,0.9599665,0,0
413,matthew,-1,0.8592188,0,0
414,matthew,-0.5480492,0.3069185,0,0
415,matthew,-0.2361166,0,0,0
416,matthew,-0.002653673,0,0,0
417,matthew,0,0,0,0
418,matthew,0,0,0,0
419,matthew,0,0,0,0
420,matthew,0,0,0,0
421,matthew,0,0,0,0
422,matthew,0,0,0,0
423,matthew,0,0,0,0
424,matthew,0,0,0,0
425,matthew,0,0,0,0
426,matthew,0,0,0,0
427,matthew,0,0,0,0
428,matthew,0,0,0,0
429,matthew,0,0,0,0
430,matthew,0,0,0,0
431,matthew,0,0,0,0
432,matthew,0,0,0,0
433,matthew,0,0,0,0
434,matthew,0,0,0,0
435,matthew,0,0,0,0
436,matthew,0,0,0,0
437,matthew,0,0,0,0
438,matthew,0,0,0,0
439,matthew,0,0,0,0
440,matthew,0,0,0,0
441,matthew,0,0,0,0
442,matthew,0,0,0,0
443,matthew,0,0,0,0
